"Name","State","Created","Runtime","epoch","challenge_score_safe","f1_loc_safe","f1_class_safe","f1_safe","f1_0_safe","f1_1_safe","f1_2_safe","f1_3_safe","f1_4_safe","precision_safe","precision_0_safe","precision_1_safe","precision_2_safe","precision_3_safe","precision_4_safe","recall_safe","recall_0_safe","recall_1_safe","recall_2_safe","recall_3_safe","recall_4_safe"
"t_farseg_single","finished","2024-10-30T23:47:31.000Z","92","0","0.6545764207839966","0.7686702013015747","0.6056790351867676","0.6626787781715393","0.9860249757766724","0.7604480385780334","0.4005882740020752","0.5867325067520142","0.5796000361442566","0.6961451768875122","0.9856473803520204","0.7413844466209412","0.4788863956928253","0.620301365852356","0.6545065641403198","0.6375810503959656","0.9864027500152588","0.7805178761482239","0.34429576992988586","0.5566104650497437","0.5200784802436829"
"t_baseline","finished","2024-10-30T23:36:56.000Z","91","0","0.7171082496643066","0.8156548738479614","0.674873948097229","0.7174988389015198","0.9892778396606444","0.7721889019012451","0.46481600403785706","0.6354624032974243","0.7257488965988159","0.7354194521903992","0.9868085384368896","0.8163300156593323","0.480730265378952","0.6183510422706604","0.7748771905899048","0.7020568251609802","0.991759479045868","0.7325766086578369","0.4499216675758362","0.6535477638244629","0.6824787855148315"
"t_dahitra_custom_weights","finished","2024-10-30T19:48:02.000Z","105","0","0.7130388021469116","0.8148331642150879","0.6694126129150391","0.7124184370040894","0.9891170263290404","0.7767621278762817","0.4621049761772156","0.6314469575881958","0.7026610374450684","0.7314034700393677","0.9872142672538756","0.8046387434005737","0.4808458089828491","0.6295356750488281","0.7547829151153564","0.6954385042190552","0.9910273551940918","0.750752329826355","0.4447701573371887","0.6333698630332947","0.6572727560997009"
"dahitra_custom_weights-2024-10-30T04:59:24-bpanzhzq","finished","2024-10-30T03:59:26.000Z","53898","39","0.7069490551948547","0.8145139217376709","0.6608498096466064","0.7113080024719238","0.9951092004776","0.7794418931007385","0.4392679929733277","0.6131182909011841","0.7296023368835449","0.718248188495636","0.9944776892662048","0.80743807554245","0.4028720259666443","0.6384613513946533","0.747991681098938","0.7067525386810303","0.9957415461540222","0.7533220648765564","0.482893168926239","0.5897103548049927","0.7120954990386963"
"t_farseg-double","finished","2024-10-29T23:50:02.000Z","87","0","0.7461757063865662","0.8569356203079224","0.6987071633338928","0.7395646572113037","0.991671085357666","0.8182202577590942","0.4829452633857727","0.6655851602554321","0.739401638507843","0.7694486379623413","0.9892467856407166","0.8547393679618835","0.5156727433204651","0.6571760773658752","0.8304082751274109","0.7147018909454346","0.9941072463989258","0.7846938967704773","0.4541240334510803","0.6742122173309326","0.6663721799850464"
"t_farseg_single","finished","2024-10-29T23:43:58.000Z","85","0","0.6545764207839966","0.7686702013015747","0.6056790351867676","0.6626787781715393","0.9860249757766724","0.7604480385780334","0.4005882740020752","0.5867325067520142","0.5796000361442566","0.6961451768875122","0.9856473803520204","0.7413844466209412","0.4788863956928253","0.620301365852356","0.6545065641403198","0.6375810503959656","0.9864027500152588","0.7805178761482239","0.34429576992988586","0.5566104650497437","0.5200784802436829"
"t_baseline","finished","2024-10-29T23:38:15.000Z","85","0","0.7171082496643066","0.8156548738479614","0.674873948097229","0.7174988389015198","0.9892778396606444","0.7721889019012451","0.46481600403785706","0.6354624032974243","0.7257488965988159","0.7354194521903992","0.9868085384368896","0.8163300156593323","0.480730265378952","0.6183510422706604","0.7748771905899048","0.7020568251609802","0.991759479045868","0.7325766086578369","0.4499216675758362","0.6535477638244629","0.6824787855148315"
"t_dahitra","finished","2024-10-29T23:35:09.000Z","85","0","0.7136860489845276","0.8184587955474854","0.66878342628479","0.7135579586029053","0.9891176223754884","0.7801363468170166","0.45487716794013977","0.6368541121482849","0.7068045139312744","0.7277512550354004","0.9883036017417908","0.7885209321975708","0.4693053662776947","0.6306129097938538","0.7620135545730591","0.7010891437530518","0.9899329543113708","0.7719281911849976","0.4413096606731415","0.643220067024231","0.6590549349784851"
"t_baseline_singlebranch","finished","2024-10-29T23:27:45.000Z","89","0","0.632918119430542","0.7167308926582336","0.596998393535614","0.6467100381851196","0.9824510216712952","0.6956895589828491","0.414079874753952","0.565669596195221","0.575659990310669","0.6434875726699829","0.98350191116333","0.6806354522705078","0.4110710918903351","0.562457263469696","0.5797720551490784","0.6500968933105469","0.9814023375511168","0.7114246487617493","0.41713306307792664","0.5689188241958618","0.5716058015823364"
"baseline_singlebranch","crashed","2024-10-29T06:30:03.000Z","59266","39","0.6302776336669922","0.7201511263847351","0.5917603969573975","0.6439727544784546","0.9924808144569396","0.6995483040809631","0.4132072925567627","0.5397706031799316","0.574856698513031","0.6554421186447144","0.992648422718048","0.6876737475395203","0.4151505529880524","0.567374587059021","0.6143630146980286","0.6340575218200684","0.9923132061958312","0.7118400931358337","0.41128218173980713","0.5147279500961304","0.5401242971420288"
"dahitra-2024-10-27T16:48:35-bpanzhzq","finished","2024-10-27T15:48:37.000Z","42254","39","0.7002600431442261","0.8104144930839539","0.6530510187149048","0.7055996656417847","0.9950940012931824","0.7758477926254272","0.4313054084777832","0.6006459593772888","0.7251052856445312","0.727759838104248","0.9938633441925048","0.8188584446907043","0.42596209049224854","0.6416810750961304","0.7584340572357178","0.6858736872673035","0.9963279366493224","0.737129807472229","0.4367844760417938","0.5645436644554138","0.694582462310791"
