"Name","State","Created","Runtime","epoch","challenge_score_safe","f1_loc_safe","f1_class_safe","f1_safe","f1_0_safe","f1_1_safe","f1_2_safe","f1_3_safe","f1_4_safe","precision_safe","precision_0_safe","precision_1_safe","precision_2_safe","precision_3_safe","precision_4_safe","recall_safe","recall_0_safe","recall_1_safe","recall_2_safe","recall_3_safe","recall_4_safe"
"split_wildfire_test_woolsey_fire_dahitra-2024-11-26T06:33:05","finished","2024-11-26T05:33:06.000Z","27158","39","0.3465461730957031","0.7622783780097961","0.16837523877620697","0.5130166411399841","0.9990646839141846","0.7586500644683838","0.05886109918355942","0.1134733334183693","0.6350342035293579","0.5288004279136658","0.9987999200820924","0.817469596862793","0.07490246742963791","0.11882613599300385","0.6340039968490601","0.5000369548797607","0.9993294477462769","0.7077268958091736","0.04847872629761696","0.1085819974541664","0.6360677480697632"
"split_wildfire_test_santa_rosa_wildfire_farseg-2024-11-25T22:58:48","finished","2024-11-25T21:58:50.000Z","27242","39","0.25762176513671875","0.8335416913032532","0.01079891249537468","0.5273516774177551","0.9992396831512452","0.8293962478637695","0.002226620446890593","0.09726803004741667","0.7086275815963745","0.5457982420921326","0.9990777969360352","0.8551031351089478","0.003394305007532239","0.14854350686073303","0.722872257232666","0.5146979689598083","0.9994016885757446","0.8051899075508118","0.001656695851124823","0.07230811566114426","0.6949335336685181"
"split_wildfire_test_santa_rosa_wildfire_baseline-2024-11-25T15:28:31","finished","2024-11-25T14:28:33.000Z","27001","39","0","0","0","0.1994947195053101","0.9974735975265504","0","0","0","0","0.1989919990301132","0.9949600100517272","0","0","0","0","0.20000000298023224","1","0","0","0","0"
"split_wildfire_test_santa_rosa_wildfire_dahitra-2024-11-25T07:56:47","finished","2024-11-25T06:56:51.000Z","27088","39","0.3465461730957031","0.7622783780097961","0.16837523877620697","0.5130166411399841","0.9990646839141846","0.7586500644683838","0.05886109918355942","0.1134733334183693","0.6350342035293579","0.5288004279136658","0.9987999200820924","0.817469596862793","0.07490246742963791","0.11882613599300385","0.6340039968490601","0.5000369548797607","0.9993294477462769","0.7077268958091736","0.04847872629761696","0.1085819974541664","0.6360677480697632"
"split_flood_test_hurricane_michael_farseg-2024-11-25T05:21:21","finished","2024-11-25T04:21:23.000Z","9312","39","0.49840477108955383","0.8451544046401978","0.349797785282135","0.5940515398979187","0.9918808937072754","0.7851319909095764","0.3696730136871338","0.6965285539627075","0.12704332172870636","0.6369114518165588","0.9883863925933838","0.839223325252533","0.42194825410842896","0.7273421883583069","0.2076568901538849","0.564329981803894","0.9954001307487488","0.7375912070274353","0.32892268896102905","0.6682195663452148","0.09151620417833328"
"split_wildfire_test_pinery_bushfire_farseg-2024-11-22T01:30:12","finished","2024-11-22T00:30:14.000Z","18510","39","0.4486314058303833","0.8584315776824951","0.2730027437210083","0.6334891319274902","0.9982903599739076","0.8446201086044312","0.08035760372877121","0.39995911717414856","0.8442181944847107","0.6559116840362549","0.9978769421577454","0.8846172094345093","0.13437213003635406","0.4295927584171295","0.8330994248390198","0.6187785267829895","0.9987041354179382","0.8080833554267883","0.0573173426091671","0.37414994835853577","0.855637788772583"
"split_wildfire_test_pinery_bushfire_baseline-2024-11-21T15:51:53","finished","2024-11-21T14:51:55.000Z","24696","39","0.36946406960487366","0.7713935971260071","0.19720855355262756","0.5461180806159973","0.9969899654388428","0.7494175434112549","0.08789759874343872","0.0962495505809784","0.8000358939170837","0.5660556554794312","0.9956974387168884","0.8616272211074829","0.06250808387994766","0.10468308627605438","0.8057622909545898","0.538567304611206","0.9982858300209044","0.6630663871765137","0.14802052080631256","0.0890735536813736","0.7943902611732483"
"split_wildfire_test_pinery_bushfire_dahitra-2024-11-21T10:44:55","finished","2024-11-21T09:44:57.000Z","18405","39","0.3397060036659241","0.7857646346092224","0.1485380381345749","0.5441347360610962","0.997119128704071","0.7702252268791199","0.04586270451545715","0.12070057541131972","0.7867658734321594","0.5571174025535583","0.9964972138404846","0.816929817199707","0.043321236968040466","0.14695079624652865","0.7818881869316101","0.533829391002655","0.9977418184280396","0.7285721302032471","0.04872095212340355","0.1024072840809822","0.7917047739028931"
"split_wildfire_test_woolsey_fire_farseg-2024-11-21T04:01:00","finished","2024-11-21T03:01:02.000Z","24220","39","0.3851499557495117","0.8605817556381226","0.18139344453811648","0.5775188207626343","0.9987186789512634","0.8477328419685364","0.0567820705473423","0.152192622423172","0.8321678042411804","0.5957334637641907","0.9983169436454772","0.8941943049430847","0.11159809678792952","0.14137990772724152","0.8331781029701233","0.5678032636642456","0.9991206526756288","0.8058610558509827","0.03807832673192024","0.16479621827602386","0.8311599493026733"
"split_wildfire_test_woolsey_fire_baseline-2024-11-20T19:04:39","finished","2024-11-20T18:04:40.000Z","32163","39","0.3174061179161072","0.8021377921104431","0.1096639484167099","0.541881799697876","0.9979407787322998","0.7884131073951721","0.034460682421922684","0.0764908716082573","0.8121032118797302","0.5478854179382324","0.9979074001312256","0.7958666086196899","0.07344565540552139","0.09454474598169328","0.7776629328727722","0.543109118938446","0.9979743361473083","0.781097948551178","0.02251154743134975","0.06422645598649979","0.8497353792190552"
