"Name","State","Created","Runtime","epoch","challenge_score_target","best_challenge_score_target","best_challenge_score_target_epoch","f1_target","f1_loc_target","f1_target_class","f1_target_0","f1_target_1","f1_target_2","f1_target_3","f1_target_4","challenge_score_source","f1_loc_source","f1_source_class","f1_source_0","f1_source_1","f1_source_2","f1_source_3","f1_source_4"
"t_floodnet_msl_baseline_singlebranch_flood","finished","2024-12-27T19:44:01.000Z","1902","4","0.6124327182769775","0.6325293779373169","1","0.6340322494506836","0.6665127873420715","0.5655325055122375","0.9604743719100952","0.4992847144603729","0.4423375129699707","","","0.5785447955131531","0.7218665480613708","0.5171211957931519","0.983077108860016","0.6669158935546875","0.40830036997795105","0.6246175169944763","0.3223620653152466"
"t_initial_floodnet_baseline_singlebranch_flood","finished","2024-12-27T19:42:57.000Z","62","0","0.559746265411377","0.559746265411377","0","0.5802150368690491","0.6513266563415527","0.48596271872520447","0.9579205513000488","0.4152006208896637","0.3675239980220794","","","0.5997801423072815","0.7319079041481018","0.5431539416313171","0.9838790893554688","0.6843166947364807","0.4973222613334656","0.6646320819854736","0.3112901747226715"
"t_floodnet_msl_farseg_single","finished","2024-12-26T17:40:28.000Z","403","4","0.2311489135026932","","","0.3652150630950928","0.35889115929603577","0.00047129590529948473","0.9532016515731812","0.1422862410545349","0.00015729822916910052","","","0.6568020582199097","0.7693966627120972","0.6085472106933594","0.9945895075798036","0.7733071446418762","0.423136293888092","0.5483994483947754","0.5777308940887451"
"t_initial_floodnet_farseg_single","finished","2024-12-26T17:39:45.000Z","41","0","0.35220804810523987","0.35220804810523987","0","0.4510880410671234","0.5742181539535522","0.1670619547367096","0.9589932560920716","0.3218468725681305","0.07242398709058762","","","0.7134929299354553","0.7842155694961548","0.6831831932067871","0.9940375089645386","0.7844263911247253","0.5435454845428467","0.6317283511161804","0.6191433072090149"
"t_initial_floodnet_baseline_singlebranch_flood","finished","2024-12-26T17:30:17.000Z","62","0","0.559746265411377","0.559746265411377","0","0.5802150368690491","0.6513266563415527","0.48596271872520447","0.9579205513000488","0.4152006208896637","0.3675239980220794","","","0.5997801423072815","0.7319079041481018","0.5431539416313171","0.9838790893554688","0.6843166947364807","0.4973222613334656","0.6646320819854736","0.3112901747226715"
"t_floodnet_msl_farseg_singlebranch_flood","finished","2024-12-25T12:19:34.000Z","5751","9","0.3985622227191925","0.548711359500885","2","0.5122433304786682","0.5581896901130676","0.3582703471183777","0.9084595441818236","0.42501628398895264","0.2032541185617447","","","0.19540086388587952","0.49257662892341614","0.06803979724645615","0.952528953552246","0.4014015793800354","0.17087297141551971","0.5044739246368408","0.01610027626156807"
"t_initial_floodnet_farseg_singlebranch_flood","finished","2024-12-25T12:12:19.000Z","72","0","0.3300228416919708","0.3300228416919708","0","0.39846986532211304","0.2804277241230011","0.13340075314044952","0.94950532913208","0.06257518380880356","0.18332907557487488","","","0.6563620567321777","0.7888076901435852","0.5995995998382568","0.9878644943237304","0.7714324593544006","0.5898069739341736","0.7032124400138855","0.34331128001213074"
"t_floodnet_msl_baseline_singlebranch","finished","2024-12-23T23:32:48.000Z","2764","1","0.25003743171691895","","","0.4555496275424957","0.6019552946090698","0.07220719009637833","0.9588420391082764","0.38140931725502014","0.02639753185212612","","","0.6080973148345947","0.6649746298789978","0.5837213397026062","0.990107238292694","0.6452618837356567","0.4869071543216706","0.4883373975753784","0.5250896215438843"
"t_initial_floodnet_baseline_singlebranch","finished","2024-12-23T23:28:05.000Z","281","0","0.3459816575050354","0.3459816575050354","0","0.4493643343448639","0.5845301151275635","0.1777874380350113","0.956250548362732","0.312666118144989","0.07917636632919312","","","0.6857542991638184","0.7384348511695862","0.6631768941879272","0.9914217591285706","0.7202759981155396","0.4978998899459839","0.7198190093040466","0.5731374025344849"
"t_floodnet_msl_baseline_singlebranch_flood","finished","2024-12-23T22:32:13.000Z","2237","4","0.6157048344612122","0.6388611197471619","3","0.6388983130455017","0.6753118634223938","0.5727769732475281","0.9634094834327698","0.49068623781204224","0.4625992178916931","","","0.4524595439434051","0.7158698439598083","0.33956941962242126","0.98472660779953","0.6606061458587646","0.3708263337612152","0.6159371137619019","0.12698356807231903"
